This file contains a complete mapping of the references in the .md files,
and the corresponding page and line number references in the C138.pdf
official version of the Open Group specification.

Our file label ref            |C138 page|C138 line|C138 start...finish (for disambiguation)  
*posix/open.md EISDIR:1        |1394     |46098    |
*posix/open.md ENOENT:1        |1394     |46106    |
posix/open.md ENOENT:2        |1394     |46107    |
*posix/open.md ENOENT:3        |1394     |46110    |
*posix/open.md ENOTDIR:2       |1394     |46110    |
posix/open.md EBADF:1         |1395     |46130    |
                              |         |         |
posix/read.md READ_TS         |1754     |56393    |
*posix/read.md EBADF:1         |1754     |56401    |
*posix/read.md EISDIR:1        |1754     |56413    |
*posix/read.md EINVAL:2        |1754     |56420    |
                              |         |         |
posix/readlink.md READLINK_TS |1764     |56775    |
                              |         |         |
posix/rename.md RENAME:2      |1797     |57896    |
*posix/rename.md RENAME:3      |1797     |57900    |
posix/rename.md               |         |         |
       EACCES:2,EACCES:3      |1797     |57915    |
posix/rename.md               |         |         |
       EACCES:4,EACCES:5      |1797     |57916    |
posix/rename.md RENAME_TS     |1797     |57924    |
posix/rename.md EACCES:1      |1798     |57946    |
*posix/rename.md EACCES:2      |1798     |57946    |or one...old
*posix/rename.md EACCES:3      |1798     |57947    |
*posix/rename.md EACCES:4      |1798     |57947    |or, write...old
*posix/rename.md EACCES:5      |1798     |57948    |
posix/rename.md ENOTEMPTY:1   |1798     |57952    |
posix/rename.md EEXIST:1      |1798     |57952    |
*posix/rename.md EINVAL:1      |1798     |57954    |
*posix/rename.md EISDIR:1      |1798     |57957    |
*posix/rename.md ENOENT:1      |1798     |57965    |
*posix/rename.md ENOENT:2      |1798     |57965    |a component...exist
posix/rename.md ENOENT:3      |1798     |57966    |or...string.
*posix/rename.md ENOTDIR:1     |1799     |57968    |
*posix/rename.md ENOTDIR:2     |1799     |57969    |or the old...file;
*posix/rename.md ENOTDIR:3     |1799     |57970    |
*posix/rename.md ENOTDIR:4     |1799     |57973    |or the ole...characters;
*posix/rename.md ENOTDIR:5     |1799     |57976    |
*posix/rename.md               |         |         |
        EPERM:1,2 EACCES:6,7  |1799     |57979    |
                              |         |         |
posix/rmdir.md RMDIR_TS       |1806     |58237    |
posix/rmdir.md EACCES:1       |1806     |58244    |
*posix/rmdir.md EACCES:2       |1806     |58244    |write...removed.
*posix/rmdir.md EBUSY:1        |1806     |58246    |
posix/rmdir.md EEXIST:1       |1806     |58249    |
posix/rmdir.md ENOENT:2       |1806     |58257    |
*posix/rmdir.md ENOENT:1       |1806     |58257    |or...directory
posix/rmdir.md ENOENT:3       |1806     |58258    |or...string.
*posix/rmdir.md ENOTDIR:1      |1807     |58259    |
*posix/rmdir.md EPERM:1        |1807     |58262    |
*posix/rmdir.md EACCES:3       |1807     |58262    |
                              |         |         |
posix/symlink.md SYMLINK_TS:1 |2073     |66146    |
posix/symlink.md SYMLINK_TS:2 |2073     |66147    |Also...update.
*posix/symlink.md EACCES:1     |2073     |66163    |
posix/symlink.md EACCES:2     |2073     |66164    |or...path2.
*posix/symlink.md EEXISTS:1    |2074     |66166    |
                              |         |         |
posix/truncate.md TRUNCATE_TS |2155     |68722    |
*posix/truncate.md EINVAL:1    |2155     |68731    |
posix/truncate.md EACCES:1    |2155     |68735    |
*posix/truncate.md EACCES:2    |2155     |68735    |or...file.
*posix/truncate.md EISDIR:1    |2155     |68737    |
*posix/truncate.md ENOENT:1    |2155     |68742    |
                              |         |         |
posix/unlink.md UNLINK_TS:1   |2174     |69180    |
posix/unlink.md UNLINK_TS:2   |2174     |69181    |Also...directory.
posix/unlink.md EACCES:1      |2174     |69202    |
*posix/unlink.md EACCES:2      |2174     |69202    |write...removed.
*posix/unlink.md ENOENT:1      |2175     |69212    |
*posix/unlink.md EPERM:1       |2175     |69218    |
*posix/unlink.md EPERM:2       |2175     |69221    |
*posix/unlink.md EACCES:3      |2175     |69221    |
                              |         |         |
*posix/write.md EBADF:1        |2287     |72459    |
                              |         |         |
posix/base_definitions ENOENT |112      |3063     |
